name,species,level
FishingGroup1,Tentacool,15
FishingGroup1,Poliwag,15
FishingGroup2,Goldeen,15
FishingGroup2,Poliwag,15
FishingGroup3,Psyduck,15
FishingGroup3,Goldeen,15
FishingGroup3,Krabby,15
FishingGroup4,Krabby,15
FishingGroup4,Shellder,15
FishingGroup5,Poliwhirl,23
FishingGroup5,Slowpoke,15
FishingGroup6,Dratini,15
FishingGroup6,Krabby,15
FishingGroup6,Psyduck,15
FishingGroup6,Slowpoke,15
FishingGroup7,Tentacool,5
FishingGroup7,Krabby,15
FishingGroup7,Goldeen,15
FishingGroup7,Magikarp,15
FishingGroup8,Staryu,15
FishingGroup8,Horsea,15
FishingGroup8,Shellder,15
FishingGroup8,Goldeen,15
FishingGroup9,Slowbro,23
FishingGroup9,Seaking,23
FishingGroup9,Kingler,23
FishingGroup9,Goldeen,23
FishingGroup10,Seaking,23
FishingGroup10,Krabby,15
FishingGroup10,Goldeen,15
FishingGroup10,Magikarp,15
